date,cases,deaths,recovered,active,tested,hospitalized,population,population tested percentage,population confirmed,case delta,death delta,recovered delta,active delta,tested delta,hospitalized delta,rolling death rate,rolling recovery rate,rolling confirmation rate,rolling hospitalization rate,rolling active rate,case change,death change,recovered change,active change,tested change,hospitalized change
2020-04-12,555313,22019,67139.0,500306.0,2805892.0,92251.0,328000000,0.008554548780487805,0.0016930274390243901,,,,,,,,,0.19790961305709556,0.18438915383785123,0.9009441522168579,,,,,,
2020-04-13,580619,23528,78924.0,615609.0,2935006.0,92802.0,328000000,0.008948189024390244,0.0017701798780487806,25306.0,1509.0,11785.0,115303.0,129114.0,551.0,0.042368898260980746,0.142125251884973,0.19782548996492683,0.15074828340716268,1.060263270750699,,,,,,
2020-04-14,607670,25831,85408.0,534076.0,3081620.0,101017.0,328000000,0.009395182926829268,0.0018526524390243902,27051.0,2303.0,6484.0,-81533.0,146614.0,8215.0,0.04448872668651904,0.1470981831459184,0.1971917368137538,0.18914349268643413,0.878891503612158,0.06450778159772286,0.34476769431176724,-0.817550894509562,2.4141881201476703,0.11936104328372465,0.9329275715155204
2020-04-15,636350,28325,91501.0,555929.0,3242755.0,103839.0,328000000,0.009886448170731707,0.001940091463414634,28680.0,2494.0,6093.0,21853.0,161135.0,2822.0,0.04661247058436322,0.1505767933253246,0.19623745858074385,0.18678464336273157,0.8736214347450303,0.05679916317991629,0.07658380112269447,-0.06417200065649098,4.730975152153023,0.09011698265429613,-1.9110559886605243
2020-04-16,667801,32916,96735.0,580182.0,3401064.0,108942.0,328000000,0.01036909756097561,0.0020359786585365854,31451.0,4591.0,5234.0,24253.0,158309.0,5103.0,0.05172625127681307,0.15201540033000707,0.1963506126318117,0.18777211288871423,0.8687947457401232,0.0881053066675146,0.4567632324112394,-0.16411922048146743,0.09895683008287637,-0.01785116449475388,0.44699196551048404
2020-04-17,699706,36773,102639.0,604388.0,3541368.0,111972.0,328000000,0.010796853658536585,0.00213325,31905.0,3857.0,5904.0,24206.0,140304.0,3030.0,0.055065805531887495,0.15369698458073588,0.19758070892378313,0.18526509460809942,0.8637742137411999,0.014229744554145163,-0.19030334456831732,0.1134823848238482,-0.001941667355201293,-0.12832848671456265,-0.6841584158415841
2020-04-18,859536,44835,210201.0,655890.0,3690482.0,114029.0,328000000,0.011251469512195121,0.0026205365853658536,159830.0,8062.0,107562.0,51502.0,149114.0,2057.0,0.06407691230316732,0.30041331645005187,0.23290616239287984,0.17385384744393115,0.763074496007148,0.8003816555089783,0.5215827338129496,0.9451107268366151,0.5299988349966991,0.05908231286130072,-0.47301895964997565
2020-04-19,887758,47002,218928.0,675458.0,3865864.0,115792.0,328000000,0.011786170731707317,0.002706579268292683,28222.0,2167.0,8727.0,19568.0,175382.0,1763.0,0.05468299175369036,0.25470486401965714,0.22964025635666438,0.17142738704701108,0.7608582519109938,-4.663312309545744,-2.720350715274573,-11.325197662426952,-1.631950122649223,0.14977591771105359,-0.16676120249574589
2020-04-20,784326,42094,126767.0,669903.0,4003551.0,117363.0,328000000,0.012205948170731708,0.002391237804878049,-103432.0,-4908.0,-92161.0,-5555.0,137687.0,1571.0,0.047416075101547946,0.14279454536033467,0.19590758304315345,0.17519402062686687,0.8541129581322052,1.2728555959470957,1.4415240423797882,1.0946929829320429,4.522592259225922,-0.27377312309804114,-0.1222151495862509
2020-04-21,811865,44444,133321.0,692217.0,4155178.0,120268.0,328000000,0.012668225609756098,0.0024751981707317075,27539.0,2350.0,6554.0,22314.0,151627.0,2905.0,0.05666521318941359,0.16998161478772858,0.1953863348333092,0.1737432048042738,0.8526257444279529,4.755837176368059,3.088510638297872,15.0617943240769,1.2489468495115175,0.09193613274680634,0.4592082616179002
2020-04-22,840220,46622,138885.0,716232.0,4466559.0,121498.0,328000000,0.013617557926829268,0.0025616463414634147,28355.0,2178.0,5564.0,24015.0,311381.0,1230.0,0.057425803551083,0.1710690816822994,0.1881134896012792,0.1696349786102827,0.8524338863630954,0.0287779932992418,-0.07897153351698805,-0.17792954708842568,0.07083073079325419,0.5130499291864308,-1.3617886178861789
2020-04-23,869170,49954,143750.0,739013.0,4660250.0,123621.0,328000000,0.014208079268292683,0.002649908536585366,28950.0,3332.0,4865.0,22781.0,193691.0,2123.0,0.05945347647044821,0.17108614410511533,0.1865071616329596,0.16727851878113104,0.8502513892564171,0.020552677029360922,0.3463385354141657,-0.1436793422404934,-0.05416794697335492,-0.6076172873287866,0.42063118228921337
